CustomerID,LastPurchase,FirstPurchase,OrderCount,TotalSpent,AvgOrderValue,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Segment
12346.0,2011-01-18 10:01:00,2011-01-18 10:01:00,1,77183.6,77183.6,325,1,77183.6,1,1,5,115,7,Potential
12347.0,2011-12-07 15:52:00,2010-12-07 14:57:00,182,4310.0,23.68131868131868,1,182,4310.0,5,5,5,555,15,Champions
12348.0,2011-09-25 13:13:00,2010-12-16 19:09:00,31,1797.24,57.97548387096774,74,31,1797.24,2,3,4,234,9,Potential
12349.0,2011-11-21 09:51:00,2011-11-21 09:51:00,73,1757.55,24.076027397260276,18,73,1757.55,4,4,4,444,12,Loyal Customers
12350.0,2011-02-02 16:01:00,2011-02-02 16:01:00,17,334.4,19.670588235294115,309,17,334.4,1,2,2,122,5,At Risk
12352.0,2011-11-03 14:37:00,2011-02-16 12:33:00,85,2506.04,29.482823529411764,35,85,2506.04,3,4,5,345,12,Loyal Customers
12353.0,2011-05-19 17:47:00,2011-05-19 17:47:00,4,89.0,22.25,203,4,89.0,1,1,1,111,3,At Risk
12354.0,2011-04-21 13:11:00,2011-04-21 13:11:00,58,1079.4,18.610344827586207,231,58,1079.4,1,3,4,134,8,Potential
12355.0,2011-05-09 13:49:00,2011-05-09 13:49:00,13,459.4,35.33846153846154,213,13,459.4,1,1,2,112,4,At Risk
12356.0,2011-11-17 08:40:00,2011-01-18 09:50:00,59,2811.43,47.65135593220339,22,59,2811.43,4,4,5,445,13,Champions
12357.0,2011-11-06 16:07:00,2011-11-06 16:07:00,131,6207.67,47.38679389312977,32,131,6207.67,4,5,5,455,14,Champions
12358.0,2011-12-08 10:26:00,2011-07-12 10:04:00,19,1168.06,61.47684210526315,1,19,1168.06,5,2,4,524,11,Loyal Customers
12359.0,2011-10-13 12:47:00,2011-01-12 12:43:00,248,6372.58,25.695887096774197,57,248,6372.58,3,5,5,355,13,Champions
12360.0,2011-10-18 15:22:00,2011-05-23 09:43:00,129,2662.06,20.63612403100775,51,129,2662.06,3,5,5,355,13,Champions
12361.0,2011-02-25 13:51:00,2011-02-25 13:51:00,10,189.9,18.99,286,10,189.9,1,1,1,111,3,At Risk
12362.0,2011-12-06 15:40:00,2011-02-17 10:30:00,266,5226.23,19.64748120300752,2,266,5226.23,5,5,5,555,15,Champions
12363.0,2011-08-22 10:18:00,2011-04-11 13:29:00,23,552.0,24.0,109,23,552.0,2,2,3,223,7,Potential
12364.0,2011-12-02 10:22:00,2011-08-19 15:24:00,85,1313.1,15.448235294117646,7,85,1313.1,5,4,4,544,13,Champions
12365.0,2011-02-21 14:04:00,2011-02-21 13:51:00,22,641.38,29.15363636363636,290,22,641.38,1,2,3,123,6,Potential
12367.0,2011-12-05 16:48:00,2011-12-05 16:48:00,11,168.9,15.354545454545455,3,11,168.9,5,1,1,511,7,Potential
