CustomerID,RFM_Segment,RFM_Score,Segment
12346.0,115,7,Potential
12347.0,555,15,Champions
12348.0,234,9,Potential
12349.0,444,12,Loyal Customers
12350.0,122,5,At Risk
12352.0,345,12,Loyal Customers
12353.0,111,3,At Risk
12354.0,134,8,Potential
12355.0,112,4,At Risk
12356.0,445,13,Champions
12357.0,455,14,Champions
12358.0,524,11,Loyal Customers
12359.0,355,13,Champions
12360.0,355,13,Champions
12361.0,111,3,At Risk
12362.0,555,15,Champions
12363.0,223,7,Potential
12364.0,544,13,Champions
12365.0,123,6,Potential
12367.0,511,7,Potential
12370.0,355,13,Champions
12371.0,344,11,Loyal Customers
12372.0,334,10,Loyal Customers
12373.0,112,4,At Risk
12374.0,433,10,Loyal Customers
12375.0,522,9,Potential
12377.0,144,9,Potential
12378.0,255,12,Loyal Customers
12379.0,233,8,Potential
12380.0,445,13,Champions
12381.0,544,13,Champions
12383.0,144,9,Potential
12384.0,423,9,Potential
12386.0,112,4,At Risk
12388.0,445,13,Champions
12390.0,233,8,Potential
12391.0,442,10,Loyal Customers
12393.0,344,11,Loyal Customers
12394.0,324,9,Potential
12395.0,455,14,Champions
12397.0,355,13,Champions
12398.0,344,11,Loyal Customers
12399.0,244,10,Loyal Customers
12401.0,111,3,At Risk
12402.0,111,3,At Risk
12403.0,312,6,Potential
12405.0,234,9,Potential
12406.0,445,13,Champions
12407.0,344,11,Loyal Customers
12408.0,445,13,Champions
12409.0,245,11,Loyal Customers
12410.0,123,6,Potential
12412.0,244,10,Loyal Customers
12413.0,333,9,Potential
12414.0,123,6,Potential
12415.0,455,14,Champions
12417.0,555,15,Champions
12418.0,233,8,Potential
12420.0,323,8,Potential
12421.0,433,10,Loyal Customers
12422.0,233,8,Potential
12423.0,554,14,Champions
12424.0,234,9,Potential
12425.0,233,8,Potential
12426.0,133,7,Potential
12427.0,433,10,Loyal Customers
12428.0,455,14,Champions
12429.0,545,14,Champions
12430.0,312,6,Potential
12431.0,355,13,Champions
12432.0,345,12,Loyal Customers
12433.0,555,15,Champions
12434.0,233,8,Potential
12435.0,235,10,Loyal Customers
12436.0,223,7,Potential
12437.0,555,15,Champions
12438.0,445,13,Champions
12441.0,111,3,At Risk
12442.0,511,7,Potential
12444.0,455,14,Champions
12445.0,411,6,Potential
12446.0,334,10,Loyal Customers
12447.0,122,5,At Risk
12448.0,322,7,Potential
12449.0,455,14,Champions
12450.0,211,4,At Risk
12451.0,555,15,Champions
12452.0,422,8,Potential
12453.0,233,8,Potential
12454.0,325,10,Loyal Customers
12455.0,245,11,Loyal Customers
12456.0,355,13,Champions
12457.0,345,12,Loyal Customers
12458.0,334,10,Loyal Customers
12461.0,233,8,Potential
12462.0,444,12,Loyal Customers
12463.0,344,11,Loyal Customers
12464.0,524,11,Loyal Customers
12465.0,433,10,Loyal Customers
12468.0,133,7,Potential
12471.0,555,15,Champions
12472.0,455,14,Champions
12473.0,455,14,Champions
12474.0,455,14,Champions
12475.0,333,9,Potential
12476.0,455,14,Champions
12477.0,455,14,Champions
12478.0,533,11,Loyal Customers
12479.0,533,11,Loyal Customers
12480.0,455,14,Champions
12481.0,455,14,Champions
12483.0,445,13,Champions
